Tweets_text,User_name,Source
2020 saw rampant  cyberattacks on US hospitals and healthcare providers  and they ll only continue  Arcserve s Sam Roguine pr ,sectest9,"<a href=""https://ho.com"" rel=""nofollow"">auto is the only way it can be </a>"
Viral  Dreams  Skateboarder Nathan Apodaca Tests Positive for COVID  ,pizza_czar,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Ok so I just talked to my doctor and because a friend sent me a link about taking Ivermectin as an anaphylaxis for   ,stubbysquid,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
What he means to say    COVID part one went really  really well  So many of them took it without even questioning    ,MikePShanahan,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
I feel like I ve been repeating myself quite a bit  but still the message hasn t been understood   LOCKDOWNS ARE NOT A C ,jennicat777,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
Mitch McConnell and Republicans want to block   DOL as well as state OSHAs from being able to hold employers accountab ,the_real_tsnutz,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Memorable Trump Lies   Inject disinfectant for COVID   COVID is another hoax   Inauguration crowd size   ,MsActiviss,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
CDC Reveals Hospitals Counted 130 000 Heart Attacks  Flu and Bacterial Pneumonia As COVID 19 Deaths  ,order_personal,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
Ohio State Faithful Not Happy With Michigan Football  ,PRKramer1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
Concentrations of methane surged by a near record rate last year to 1 877 parts per billion  Levels were 260  higher than in ,EcoHubb,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
I m truly sick of seeing this stuff,Terithi1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
Mass transit is safe  but eating in a restaurant isn t  Lol okay   ,endeavor0921,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
                    ,LanceForman,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
       Today s BOMBSHELL updates  2018 EO foreign interference  corruption  COVID and much more     Ca   ,AshleyWeis4,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
Mitch McConnell   is NOT a Patriot  Ask his wife  She knows    McConnell just wants power  influence   amp  money  He ,GreyChaptr,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
The first Americans are receiving the COVID 19 vaccine  It gives us hope and it reminds us that we have to make sure our gover ,lynneknieling,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
COVID 19   India records 22 065 infections  354  fatalities   Greater Kashmir  ,MunnaSa11095851,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
george  Good call on  AMIH Mazen   NEXT UP IS  VTGN   Inhaler for Anxiety  Mkt cap  50 million vs  CMPS  2 1 Billion  MMED  1  ,Gambiste1,"<a href=""https://gambiste.com"" rel=""nofollow"">Gambiste</a>"
We urge both Congressional leaders and the Administration to enact at least  32B in COVID 19 emergency transit funding le ,dave_daley_pdx,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Incidence 100 000 for the last 14 days  15 dec 2020   Germany   341 Belgium    263    ,FranceBock,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
October was a strong month for new construction home prices and sales of new single family homes in the Greater Tor   ,DacostaJohn,"<a href=""https://www.backatyou.com"" rel=""nofollow"">Back At You</a>"
To celebrate the free market  covid vaccines should be distributed the same way as PS5s  you can either refresh Wario64  ,sharzy720,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
     THIS     ,skipperburke,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Nigeria will propagate its own COVID 19 second wave because half of the country will be rushing to get a NIN in two weeks ,LaFatty08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
celebs sing me another John Lennon song  COVID is making me sad ,andyateacrayon,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
The US had 16  of the world s new Covid deaths yesterday  We have 4 25  of the world s population    UN data ,jmec711,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
FDA  Today  the FDA issued an emergency use authorization  EUA  for the first over the counter  OTC  fully at home diagnostic test f ,__aknora,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Let me suit up  ,camamitch,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Today s COVID 19 update in Connecticut     24 580 tests were administered and 1 470 came back positive  5 98  rate    1 2 ,z_randolph98,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
Moderna vaccine assessment  Source  FDA    Conclusion  With  94 5  efficacy at preventing sym   ,peter_morawski,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
      Guy    In other words  statistically  the same   of people who die this y   ,eenygma_20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
Anyone tried gamer girl bath water for covid yet ,chillywillers,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Today I pushed myself to go out and be normal  Then I ended up pinning my kid down at some random covid centre whil   ,flossybunny,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
Boris Johnson s father caught getting on tube without mask in fourth breach of Covid rules   The Independent     ,wstgrl46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
